Gene,Effect,HRE
PTPRT,NO,YES
BRUNOL4,NO,YES
LTBP1,NO,YES
SLC6A7,NO,YES
GALT,NO,YES
APEX1,NO,YES
INSM1,NO,YES
SUMO3,NO,YES
CEP55,NO,YES
UGDH,NO,YES
PCBP3,NO,YES
TDRD7,NO,YES
UNC13A,NO,YES
GOLIM4,NO,YES
CFL2,NO,YES
SYPL2,NO,YES
GNB2,NO,YES
KCNG2,NO,YES
FOXA1,NO,YES
FOXP2,NO,YES
NRXN1,NO,YES
APC,NO,YES
SPRY3,NO,YES
SPRY3,NO,YES
HIF1A,NO,YES
SRF,NO,YES
NLN,NO,YES
B4GALT2,NO,YES
HOXA1,NO,YES
FBXW8,NO,YES
CLPP,NO,YES
A2BP1,NO,YES
EIF2C4,NO,YES
TRIM33,NO,YES
CLDN19,NO,YES
CAND2,NO,YES
CHD9,NO,YES
ZC3H10,NO,YES
MLLT1,NO,YES
ZNF507,NO,YES
QTRT1,NO,YES
TIAM1,NO,YES
IGF2BP3,NO,YES
ATP1B3,NO,YES
KIAA1467,NO,YES
SENP8,NO,YES
SLC24A4,NO,YES
SIPA1L3,NO,YES
GPR115,NO,YES
PCDH7,NO,YES
HS3ST4,NO,YES
BIN1,NO,YES
PCDH19,NO,YES
UBE4B,NO,YES
DTX1,NO,YES
ATXN7,NO,YES
TMCC2,NO,YES
EHMT2,NO,YES
PRKCE,NO,YES
LETM1,NO,YES
WBP11,NO,YES
PCP2,NO,YES
ZMYND12,NO,YES
SLC25A11,NO,YES
RYK,NO,YES
DDAH1,NO,YES
SFRS7,NO,YES
NUDT11,NO,YES
SHH,NO,YES
GPC3,NO,YES
BIRC6,NO,YES
CUL5,NO,YES
ASXL2,NO,YES
EYA4,NO,YES
SEMA6C,NO,YES
MOS,NO,YES
MRPS28,NO,YES
PRRX2,NO,YES
ST5,NO,YES
MARK2,NO,YES
WDR24,NO,YES
SLK,NO,YES
RAI2,NO,YES
EGR1,NO,YES
MECP2,NO,YES
RGAG1,NO,YES
GTF2H1,NO,YES
BCL11B,NO,YES
SFXN5,NO,YES
SYT6,NO,YES
IRF2BP1,NO,YES
RAB6B,NO,YES
KCNQ4,NO,YES
CDC42BPA,NO,YES
OTUD4,NO,YES
ATP6V0B,NO,YES
TMEM38B,NO,YES
SYNGAP1,NO,YES
SHANK1,NO,YES
NUAK2,NO,YES
KCTD17,NO,YES
CBFA2T3,NO,YES
CSK,NO,YES
LEPREL2,NO,YES
TP53BP1,NO,YES
XKR7,NO,YES
BRSK1,NO,YES
STOX2,NO,YES
AHR,NO,YES
ARHGEF2,NO,YES
CAMTA1,NO,YES
VPS33A,NO,YES
ARFGEF2,NO,YES
TACC2,NO,YES
SAMD13,NO,YES
UBE2Q1,NO,YES
GUCY1A2,NO,YES
GRIP2,NO,YES
RBPMS2,NO,YES
LONRF3,NO,YES
MITF,NO,YES
CYP26B1,NO,YES
CACNA1F,NO,YES
AKAP11,NO,YES
H2AFZ,NO,YES
CACNA1B,NO,YES
KIAA1012,NO,YES
GRIN2B,NO,YES
ADAMTS6,NO,YES
ATOH8,NO,YES
SYNCRIP,NO,YES
KIAA0802,NO,YES
CYB561D1,NO,YES
EXTL3,NO,YES
ADCYAP1,NO,YES
TMEM64,NO,YES
ZNF608,NO,YES
NAT11,NO,YES
WNT4,NO,YES
NRAS,NO,YES
DLG1,NO,YES
SBSN,NO,YES
IL1RAPL1,NO,YES
ATOH1,NO,YES
XPR1,NO,YES
SLC24A2,NO,YES
SLC27A2,NO,YES
VPS54,NO,YES
LNX1,NO,YES
SMURF1,NO,YES
SMARCA5,NO,YES
MAN2A1,NO,YES
ENO3,NO,YES
PPRC1,NO,YES
PSMA1,NO,YES
GAPDHS,NO,YES
ANXA13,NO,YES
DDX3X,NO,YES
OPA3,NO,YES
NFASC,NO,YES
GBF1,NO,YES
MCM2,NO,YES
MGC29506,NO,YES
GEMIN4,NO,YES
GRINA,NO,YES
NHS,NO,YES
SMOC1,NO,YES
POP1,NO,YES
GABRA4,NO,YES
ADNP,NO,YES
EFNA5,NO,YES
FURIN,NO,YES
EWSR1,NO,YES
FAM53B,NO,YES
SUSD4,NO,YES
MYCBP2,NO,YES
ARMCX2,NO,YES
PTPN3,NO,YES
PPFIA2,NO,YES
CDH11,NO,YES
HIST1H4B,NO,YES
FOXD3,NO,YES
PPP2R2B,NO,YES
PCMT1,NO,YES
SLC4A10,NO,YES
CLCN2,NO,YES
ATXN2L,NO,YES
GRIK4,NO,YES
FBN2,NO,YES
EML4,NO,YES
COPS7A,NO,YES
CTDSPL,NO,YES
SF1,NO,YES
WNT5A,NO,YES
DIP2B,NO,YES
KCNMA1,NO,YES
GPM6B,NO,YES
CHAF1A,NO,YES
EGR4,NO,YES
GATA2,NO,YES
SEMA5B,NO,YES
WNT3A,NO,YES
RABEP1,NO,YES
CHL1,NO,YES
GRIP1,NO,YES
ARRB1,NO,YES
CPEB1,NO,YES
KIFC1,NO,YES
CREM,NO,YES
OSBPL6,NO,YES
IGSF9,NO,YES
ZNF462,NO,YES
USP4,NO,YES
ESRRG,NO,YES
KCNK6,NO,YES
DIS3L2,NO,YES
ZBTB7B,NO,YES
SOX12,NO,YES
GATAD2A,NO,YES
RBBP7,NO,YES
MDGA1,NO,YES
PHF19,NO,YES
CDK2AP2,NO,YES
NBEAL2,NO,YES
CASP9,NO,YES
PRKRIR,NO,YES
PDE7A,NO,YES
PLEKHG2,NO,YES
YIF1A,NO,YES
MAP3K1,NO,YES
MCM8,NO,YES
KIAA0232,NO,YES
FRMD3,NO,YES
GRIA3,NO,YES
ETV1,NO,YES
PNCK,NO,YES
HMGA1,NO,YES
SYTL1,NO,YES
GALNTL1,NO,YES
SLC35B3,NO,YES
STXBP2,NO,YES
ELOVL1,NO,YES
PRRG3,NO,YES
PLXNA4,NO,YES
DNAJC16,NO,YES
FGF9,NO,YES
CNR1,NO,YES
MAP3K5,NO,YES
ITPR2,NO,YES
ZADH2,NO,YES
VARS,NO,YES
ACTN1,NO,YES
PIAS4,NO,YES
ABCA3,NO,YES
LMO2,NO,YES
CUGBP1,NO,YES
SSBP3,NO,YES
CHD7,NO,YES
LARP1,NO,YES
LMX1B,NO,YES
SOLH,NO,YES
TLL1,NO,YES
TWIST1,NO,YES
SOX14,NO,YES
RUNX1T1,NO,YES
DGKZ,NO,YES
USP15,NO,YES
CDV3,NO,YES
ASNA1,NO,YES
CYP1B1,NO,YES
ANGPT4,NO,YES
HEMK1,NO,YES
NR2F2,NO,YES
FBXL19,NO,YES
LASS3,NO,YES
RSRC1,NO,YES
GRM7,NO,YES
WDR1,NO,YES
ATXN2,NO,YES
PLD5,NO,YES
MGA,NO,YES
TRIM28,NO,YES
SEMA3F,NO,YES
EIF5A2,NO,YES
TBC1D4,NO,YES
SGOL1,NO,YES
MPP6,NO,YES
ZNF664,NO,YES
CC2D1B,NO,YES
RNF146,NO,YES
SPAST,NO,YES
AMN,NO,YES
LRIG3,NO,YES
NCOA5,NO,YES
RBM27,NO,YES
DPAGT1,NO,YES
EN1,NO,YES
HES7,NO,YES
CBX5,NO,YES
FOXF2,NO,YES
OSR1,NO,YES
UBE2M,NO,YES
PTPN6,NO,YES
SNX12,NO,YES
GPD1,NO,YES
EPHB6,NO,YES
TEAD1,NO,YES
SHE,NO,YES
PSMD14,NO,YES
TRERF1,NO,YES
CACNA2D1,NO,YES
PIK3R1,NO,YES
ARID1B,NO,YES
KLF12,NO,YES
TGFBRAP1,NO,YES
FEN1,NO,YES
SFXN2,NO,YES
ABTB2,NO,YES
TFAP2A,NO,YES
PTPRS,NO,YES
LRFN5,NO,YES
RAB10,NO,YES
PDE11A,NO,YES
POU2F2,NO,YES
BTRC,NO,YES
TDG,NO,YES
PCLO,NO,YES
MXD4,NO,YES
AUTS2,NO,YES
ZNF407,NO,YES
RTF1,NO,YES
RAB11B,NO,YES
FNDC3A,NO,YES
ARHGAP15,NO,YES
RXRG,NO,YES
CORO1B,NO,YES
CAP2,NO,YES
PFN1,NO,YES
FEZF2,NO,YES
NCAM2,NO,YES
TAF6L,NO,YES
CACNA1D,NO,YES
RERG,NO,YES
CDKN2C,NO,YES
CCNA1,NO,YES
ELK3,NO,YES
NCDN,NO,YES
PLEC1,NO,YES
CKS2,NO,YES
RPN1,NO,YES
MAGI1,NO,YES
APOA4,NO,YES
VTI1A,NO,YES
SOX3,NO,YES
RGS19,NO,YES
COL23A1,NO,YES
YWHAE,NO,YES
TBR1,NO,YES
EIF4E,NO,YES
FGFRL1,NO,YES
PDZD8,NO,YES
GNAI2,NO,YES
ARRDC4,NO,YES
SATB2,NO,YES
WDR23,NO,YES
TNFSF8,NO,YES
QRICH1,NO,YES
ISL1,NO,YES
NKX2-8,NO,YES
SH2D3C,NO,YES
DIO3,NO,YES
BTBD7,NO,YES
PTCHD1,NO,YES
MAP3K13,NO,YES
STAG1,NO,YES
WDR46,NO,YES
ZCCHC14,NO,YES
L3MBTL3,NO,YES
BCLAF1,NO,YES
RSU1,NO,YES
GTPBP3,NO,YES
CTCF,NO,YES
ZNF710,NO,YES
KIAA1797,NO,YES
LYPLA1,NO,YES
EXT1,NO,YES
ERGIC2,NO,YES
MDN1,NO,YES
SHOX2,NO,YES
ATP6V0D1,NO,YES
SALL2,NO,YES
FGF10,NO,YES
TBL1X,NO,YES
POU2F3,NO,YES
SKI,NO,YES
MYD88,NO,YES
EIF4E2,NO,YES
BAT2D1,NO,YES
TNFRSF12A,NO,YES
GALNT6,NO,YES
CPNE4,NO,YES
IKZF2,NO,YES
HMGN2,NO,YES
ABLIM2,NO,YES
PDZD4,NO,YES
PLAGL2,NO,YES
NTNG2,NO,YES
ACY1,NO,YES
GK,NO,YES
FAM19A4,NO,YES
SOX1,NO,YES
DLG3,NO,YES
ZIC3,NO,YES
TRPS1,NO,YES
SLC20A1,NO,YES
UBN1,NO,YES
HYAL2,NO,YES
ZNF536,NO,YES
TUBB,NO,YES
CSRP2BP,NO,YES
RCL1,NO,YES
ZMAT4,NO,YES
ATP5D,NO,YES
GADD45G,NO,YES
ORC5L,NO,YES
FGF14,NO,YES
GANAB,NO,YES
CPSF6,NO,YES
ABCC4,NO,YES
ITGA6,NO,YES
TMEM150,NO,YES
PDE2A,NO,YES
FAM3C,NO,YES
STAC3,NO,YES
HRH3,NO,YES
PAX4,NO,YES
BTBD9,NO,YES
CSPG4,NO,YES
CTBP2,NO,YES
RERE,NO,YES
CKAP4,NO,YES
TRAF3,NO,YES
SLC12A5,NO,YES
PRDM11,NO,YES
ETV6,NO,YES
SMARCA2,NO,YES
CTBP1,NO,YES
MAST2,NO,YES
ADAMTS3,NO,YES
FLT4,NO,YES
FLNC,NO,YES
PITPNM2,NO,YES
POGK,NO,YES
BARHL1,NO,YES
NOL4,NO,YES
NNT,NO,YES
BCL3,NO,YES
G0S2,NO,YES
ST3GAL3,NO,YES
OLFM3,NO,YES
RAP1GDS1,NO,YES
POLR3D,NO,YES
NUP153,NO,YES
MYL3,NO,YES
KIAA0368,NO,YES
UCHL5,NO,YES
DQX1,NO,YES
ZNF526,NO,YES
KDR,NO,YES
PHLDB1,NO,YES
MEF2B,NO,YES
ICA1,NO,YES
SEC22A,NO,YES
HIC1,NO,YES
TARBP1,NO,YES
LGI2,NO,YES
NFIB,NO,YES
RIC8B,NO,YES
RDH10,NO,YES
REEP3,NO,YES
FKBP11,NO,YES
UBE2W,NO,YES
PEG10,NO,YES
TTC7A,NO,YES
EFNB1,NO,YES
SCAMP2,NO,YES
SYT4,NO,YES
TBX15,NO,YES
HNRNPR,NO,YES
TRIM45,NO,YES
TJP1,NO,YES
HSP90AB1,NO,YES
UBE2D3,NO,YES
CTF1,NO,YES
JPH1,NO,YES
VEZT,NO,YES
FUS,NO,YES
CNKSR2,NO,YES
PPP1R14B,NO,YES
DAB1,NO,YES
ZNF593,NO,YES
MAP3K10,NO,YES
FUT9,NO,YES
DNAJC8,NO,YES
COPZ1,NO,YES
WDR20,NO,YES
UNC5C,NO,YES
SIX1,NO,YES
MCTP1,NO,YES
MAP1A,NO,YES
AKAP9,NO,YES
MSRA,NO,YES
FPGS,NO,YES
NSD1,NO,YES
RELN,NO,YES
AQP2,NO,YES
RBBP8,NO,YES
HESX1,NO,YES
TMEM109,NO,YES
NFIC,NO,YES
PCNA,NO,YES
CRADD,NO,YES
PPP5C,NO,YES
CALN1,NO,YES
PITPNA,NO,YES
EARS2,NO,YES
GATA3,NO,YES
LRRTM4,NO,YES
NAPA,NO,YES
RPS6KA4,NO,YES
LIFR,NO,YES
MAPRE2,NO,YES
ZNF423,NO,YES
KIAA1522,NO,YES
TSNARE1,NO,YES
KCNA2,NO,YES
FOXRED1,NO,YES
RECQL4,NO,YES
TLN2,NO,YES
PUS7,NO,YES
CYP1A1,NO,YES
UPF1,NO,YES
MAEA,NO,YES
ODZ4,NO,YES
SFRP4,NO,YES
MRPL52,NO,YES
GMDS,NO,YES
YBX2,NO,YES
INHBB,NO,YES
MST1,NO,YES
CCNT2,NO,YES
SETD2,NO,YES
FBXO30,NO,YES
NRG2,NO,YES
RBM9,NO,YES
SFRS15,NO,YES
WNT1,NO,YES
FGFR2,NO,YES
TLK1,NO,YES
SET,NO,YES
NR2F1,NO,YES
HPS5,NO,YES
PHYHIP,NO,YES
PCTK1,NO,YES
GAS7,NO,YES
ITGA8,NO,YES
SLTM,NO,YES
MEX3A,NO,YES
MTA2,NO,YES
FZD4,NO,YES
OSM,NO,YES
NRF1,NO,YES
MAPKAP1,NO,YES
BICD2,NO,YES
LMO3,NO,YES
TCF4,NO,YES
OPCML,NO,YES
FRMD4A,NO,YES
PBX3,NO,YES
PARP10,NO,YES
USP1,NO,YES
EML1,NO,YES
ESRRB,NO,YES
MAD1L1,NO,YES
ATF1,NO,YES
HIST1H2BF,NO,YES
CUTA,NO,YES
ZC3H15,NO,YES
KIAA0774,NO,YES
PSPH,NO,YES
SMARCD1,NO,YES
SV2C,NO,YES
DPP8,NO,YES
CDC5L,NO,YES
OTP,NO,YES
CDC2L5,NO,YES
MRGPRF,NO,YES
CORO2B,NO,YES
PDGFRA,NO,YES
CLASP2,NO,YES
ELK1,NO,YES
PRDM16,NO,YES
PDLIM5,NO,YES
ZNF512,NO,YES
SEMA3E,NO,YES
NELF,NO,YES
ADAMTS2,NO,YES
BMP7,NO,YES
ENY2,NO,YES
GLRA2,NO,YES
TLE1,NO,YES
TAF12,NO,YES
STX1B,NO,YES
CRH,NO,YES
SEMA7A,NO,YES
HMGB3,NO,YES
BCL7C,NO,YES
ARHGEF1,NO,YES
HSPBP1,NO,YES
TSGA14,NO,YES
TNFRSF8,NO,YES
SON,NO,YES
TRIM3,NO,YES
RAB43,NO,YES
EHBP1L1,NO,YES
LRP1B,NO,YES
CELSR2,NO,YES
HAND2,NO,YES
NEUROD6,NO,YES
CD2,NO,YES
EIF2B3,NO,YES
RPS6KC1,NO,YES
SLC22A17,NO,YES
KCNJ3,NO,YES
FJX1,NO,YES
PTBP1,NO,YES
FOXM1,NO,YES
NONO,NO,YES
ALDH4A1,NO,YES
ABL2,NO,YES
LRRK2,NO,YES
MBD3,NO,YES
EPHB2,NO,YES
GLDC,NO,YES
SAPS3,NO,YES
ENOPH1,NO,YES
PPP3CB,NO,YES
CDS2,NO,YES
GPR125,NO,YES
PAK2,NO,YES
B3GNT2,NO,YES
KIAA1598,NO,YES
ZMYM6,NO,YES
KIAA1009,NO,YES
SIM1,NO,YES
PROX1,NO,YES
SLITRK1,NO,YES
CCDC21,NO,YES
ISOC2,NO,YES
SALL1,NO,YES
KIF12,NO,YES
NKRF,NO,YES
GPC6,NO,YES
PKNOX2,NO,YES
TAOK3,NO,YES
TM2D2,NO,YES
KIAA0999,NO,YES
KIAA0513,NO,YES
PABPN1,NO,YES
TSPAN7,NO,YES
ZHX2,NO,YES
SCN3B,NO,YES
CLOCK,NO,YES
NIPBL,NO,YES
SLIT2,NO,YES
RPS6KA5,NO,YES
RANBP1,NO,YES
USP21,NO,YES
ZBTB7C,NO,YES
ZFPM1,NO,YES
EXPH5,NO,YES
SLC25A22,NO,YES
SULF2,NO,YES
ABCD3,NO,YES
TCOF1,NO,YES
SEMA6D,NO,YES
CYP46A1,NO,YES
TMED2,NO,YES
NUDC,NO,YES
ENG,NO,YES
CCDC6,NO,YES
PANK3,NO,YES
HHIP,NO,YES
SCLT1,NO,YES
FKBP1A,NO,YES
GLCCI1,NO,YES
TACC1,NO,YES
ARMC6,NO,YES
WWOX,NO,YES
PIK3CB,NO,YES
SLITRK5,NO,YES
BRS3,NO,YES
PSEN2,NO,YES
USP5,NO,YES
CACNA1E,NO,YES
KIAA0586,NO,YES
SSR1,NO,YES
ONECUT3,NO,YES
MEX3D,NO,YES
MAT2B,NO,YES
CSMD3,NO,YES
ARX,NO,YES
GNPNAT1,NO,YES
CAMK1G,NO,YES
THBS1,NO,YES
RRBP1,NO,YES
PRG-3,NO,YES
HDGF,NO,YES
HRSP12,NO,YES
AP3D1,NO,YES
WIBG,NO,YES
TIMM8A,NO,YES
HABP4,NO,YES
CENPM,NO,YES
SCFD2,NO,YES
PDIA2,NO,YES
UBE2C,NO,YES
ADCY9,NO,YES
KIF1B,NO,YES
CNNM1,NO,YES
PDP2,NO,YES
KCNN3,NO,YES
ARHGDIG,NO,YES
SRPR,NO,YES
KCTD15,NO,YES
PAX1,NO,YES
MAK10,NO,YES
SENP1,NO,YES
SART1,NO,YES
CPNE5,NO,YES
ZBTB38,NO,YES
DBC1,NO,YES
THOC1,NO,YES
RSPO3,NO,YES
WNT7B,NO,YES
AP2M1,NO,YES
SEC61A1,NO,YES
SLC34A2,NO,YES
ARID1A,NO,YES
ZNF668,NO,YES
DTWD2,NO,YES
APBA1,NO,YES
ALK,NO,YES
SLC45A4,NO,YES
PARD3B,NO,YES
STIM1,NO,YES
FANCB,NO,YES
SPAG7,NO,YES
MRPS18B,NO,YES
DKFZP564O0823,NO,YES
FKBP2,NO,YES
PDGFA,NO,YES
AGPAT6,NO,YES
OBFC2A,NO,YES
ANP32B,NO,YES
SIX4,NO,YES
RAB42,NO,YES
CREB1,NO,YES
PXN,NO,YES
CUL2,NO,YES
THRAP3,NO,YES
TNPO1,NO,YES
ADSS,NO,YES
ARSB,NO,YES
LMTK2,NO,YES
HDAC9,NO,YES
WBSCR17,NO,YES
ASXL3,NO,YES
PTPN9,NO,YES
SLMAP,NO,YES
NCOA2,NO,YES
TIGD4,NO,YES
ODF2,NO,YES
HYOU1,NO,YES
OPA1,NO,YES
CCDC41,NO,YES
STARD8,NO,YES
SEMA3A,NO,YES
PCDH17,NO,YES
POLR3G,NO,YES
PPP1R10,NO,YES
BCL6B,NO,YES
UBE2E3,NO,YES
TECTA,NO,YES
MAP4K4,NO,YES
KRTCAP2,NO,YES
TNRC6A,NO,YES
SUB1,NO,YES
HUNK,NO,YES
NKD1,NO,YES
DYNC1I1,NO,YES
SS18,NO,YES
TEX15,NO,YES
ESAM,NO,YES
LRRC8A,NO,YES
PKP4,NO,YES
RASGRF2,NO,YES
GJB4,NO,YES
KARS,NO,YES
OAF,NO,YES
PURB,NO,YES
ARF4,NO,YES
RGS6,NO,YES
DYRK3,NO,YES
PPT2,NO,YES
CLTCL1,NO,YES
ARFGEF1,NO,YES
MMP16,NO,YES
LDB2,NO,YES
TTK,NO,YES
ANKRD13D,NO,YES
CLDN16,NO,YES
ORC4L,NO,YES
SLC25A13,NO,YES
PFDN2,NO,YES
MAGEL2,NO,YES
TRPC7,NO,YES
SOX5,NO,YES
PABPC1,NO,YES
SMARCAD1,NO,YES
DHX15,NO,YES
MAN1C1,NO,YES
XPO4,NO,YES
FOXL1,NO,YES
KIF18A,NO,YES
KCTD1,NO,YES
CD276,NO,YES
COQ10A,NO,YES
EPN1,NO,YES
PAPD5,NO,YES
KIAA0020,NO,YES
UBE2S,NO,YES
OBFC2B,NO,YES
NARG1,NO,YES
EIF2B5,NO,YES
ATXN10,NO,YES
MAP2K4,NO,YES
GYG1,NO,YES
NFAT5,NO,YES
CSRP1,NO,YES
MTFR1,NO,YES
PRPF19,NO,YES
EFNB3,NO,YES
KIAA1530,NO,YES
CDK2AP1,NO,YES
PPIL1,NO,YES
AMOT,NO,YES
CLDN18,NO,YES
SOX21,NO,YES
ADRA2A,NO,YES
FNDC1,NO,YES
TMEM106B,NO,YES
CBL,NO,YES
ARL15,NO,YES
TXNDC9,NO,YES
GRM3,NO,YES
HIVEP1,NO,YES
ERO1LB,NO,YES
WFDC1,NO,YES
RASD2,NO,YES
CNNM3,NO,YES
NRG1,NO,YES
TBC1D7,NO,YES
SLC12A8,NO,YES
ANTXR2,NO,YES
ADAMTS9,NO,YES
HCRTR2,NO,YES
MREG,NO,YES
EVI5,NO,YES
MON1A,NO,YES
LRRN1,NO,YES
SLC45A3,NO,YES
ASB8,NO,YES
FAM98A,NO,YES
NAT12,NO,YES
ZFR,NO,YES
RBM6,NO,YES
CCNJ,NO,YES
EPHA4,NO,YES
REV3L,NO,YES
ELMO1,NO,YES
ATP1A2,NO,YES
IRS4,NO,YES
MASP1,NO,YES
RNF122,NO,YES
SP4,NO,YES
IK,NO,YES
ZFYVE26,NO,YES
ARPC5,NO,YES
TFRC,NO,YES
CHKA,NO,YES
MMP14,NO,YES
ZFP90,NO,YES
HSPBAP1,NO,YES
VGLL3,NO,YES
PRUNE,NO,YES
PAWR,NO,YES
LRRC49,NO,YES
STX16,NO,YES
MRPS9,NO,YES
CA14,NO,YES
ZMYM4,NO,YES
SRGAP3,NO,YES
MID1,NO,YES
KCNH8,NO,YES
CYP7B1,NO,YES
PLP1,NO,YES
SHC1,NO,YES
HHEX,NO,YES
MID1IP1,NO,YES
RBP4,NO,YES
OLIG2,NO,YES
MYBL1,NO,YES
PCNXL3,NO,YES
NXF1,NO,YES
OVOL2,NO,YES
RGMA,NO,YES
SGMS2,NO,YES
ZNF281,NO,YES
MARCKSL1,NO,YES
RBM14,NO,YES
KIAA1219,NO,YES
RRP15,NO,YES
FBXW7,NO,YES
KITLG,NO,YES
SPDEF,NO,YES
POLE2,NO,YES
CAMK2A,NO,YES
KIF1A,NO,YES
GAB3,NO,YES
ABCC5,NO,YES
ACSL3,NO,YES
EPHB4,NO,YES
JPH2,NO,YES
USP10,NO,YES
CORO1C,NO,YES
PEX14,NO,YES
PPP3CA,NO,YES
GEMIN5,NO,YES
USP24,NO,YES
ZYX,NO,YES
PARVA,NO,YES
EYA2,NO,YES
SLC35F1,NO,YES
NFATC3,NO,YES
PRDM1,NO,YES
AP3B1,NO,YES
TUSC3,NO,YES
EIF2AK4,NO,YES
MAL2,NO,YES
ADCYAP1R1,NO,YES
ID3,NO,YES
LRFN2,NO,YES
SNRPD1,NO,YES
HIST3H3,NO,YES
ERG,NO,YES
LYSMD4,NO,YES
ST8SIA3,NO,YES
TCERG1,NO,YES
THADA,NO,YES
MOV10,NO,YES
RHBDD3,NO,YES
PRPS1,NO,YES
OTX2,NO,YES
RNF31,NO,YES
FIGN,NO,YES
RGS13,NO,YES
KCNV1,NO,YES
PSMA5,NO,YES
TYRO3,NO,YES
METT5D1,NO,YES
PKP1,NO,YES
SRP72,NO,YES
ANKRD17,NO,YES
LRSAM1,NO,YES
PARL,NO,YES
IKZF5,NO,YES
GALNT10,NO,YES
RAPGEF3,NO,YES
GRID2,NO,YES
BAG4,NO,YES
HIST1H3J,NO,YES
TRIM46,NO,YES
PCDHB15,NO,YES
TRIM67,NO,YES
SOCS1,NO,YES
NRXN3,NO,YES
B4GALT1,NO,YES
SAMD10,NO,YES
TMTC2,NO,YES
DOCK10,NO,YES
ARID2,NO,YES
TCF12,NO,YES
UNC93B1,NO,YES
SFPQ,NO,YES
CD9,NO,YES
IRAK1,NO,YES
WDR48,NO,YES
CCDC8,NO,YES
ELOVL5,NO,YES
INPP4A,NO,YES
CMKLR1,NO,YES
KCNF1,NO,YES
PHACTR1,NO,YES
SAR1A,NO,YES
LATS1,NO,YES
SORBS2,NO,YES
TAF11,NO,YES
AFF3,NO,YES
KREMEN2,NO,YES
TLL2,NO,YES
GLA,NO,YES
GPX7,NO,YES
NT5C2,NO,YES
TP53I11,NO,YES
SLC2A4,NO,YES
PRRX1,NO,YES
INHBC,NO,YES
MDFI,NO,YES
CPEB3,NO,YES
SEMA3D,NO,YES
CLMN,NO,YES
SMG1,NO,YES
XRCC6,NO,YES
UCK2,NO,YES
DMPK,NO,YES
PCDHB1,NO,YES
ZC3H3,NO,YES
ADAMTS5,NO,YES
FUSIP1,NO,YES
ZDHHC8,NO,YES
ZMYND19,NO,YES
LGI1,NO,YES
PCGF3,NO,YES
CNTN4,NO,YES
CTAGE5,NO,YES
PRKCH,NO,YES
ATAD2B,NO,YES
RALB,NO,YES
CTNNB1,NO,YES
DPF3,NO,YES
QARS,NO,YES
UBL3,NO,YES
PRX,NO,YES
HOOK1,NO,YES
ZNF524,NO,YES
TCP11,NO,YES
ANKS1A,NO,YES
RGMB,NO,YES
ATXN7L1,NO,YES
WDR7,NO,YES
ESR1,NO,YES
COL25A1,NO,YES
ARHGAP4,NO,YES
IREB2,NO,YES
MCAM,NO,YES
MLL2,NO,YES
CHRDL1,NO,YES
SLC25A28,NO,YES
KIT,NO,YES
DLG5,NO,YES
SUPT16H,NO,YES
SUV39H1,NO,YES
XPC,NO,YES
DGKH,NO,YES
SERP1,NO,YES
RAP2C,NO,YES
RTN3,NO,YES
GABBR2,NO,YES
TNK2,NO,YES
GLB1L,NO,YES
EPHA8,NO,YES
PDS5A,NO,YES
WWC1,NO,YES
TERF2,NO,YES
LMAN2,NO,YES
SLC16A10,NO,YES
MAPKAPK2,NO,YES
DHH,NO,YES
ADAMTS10,NO,YES
GPR135,NO,YES
SLC38A5,NO,YES
BZW2,NO,YES
SNTB2,NO,YES
TPBG,NO,YES
NUP107,NO,YES
MSC,NO,YES
SH3BP5,NO,YES
LPPR2,NO,YES
MAP3K11,NO,YES
CLIC4,NO,YES
IBTK,NO,YES
TSPAN4,NO,YES
IL17B,NO,YES
RAD23A,NO,YES
SFRS3,NO,YES
TAF3,NO,YES
PKNOX1,NO,YES
TNFRSF19,NO,YES
CLEC11A,NO,YES
RIMS4,NO,YES
UNC13B,NO,YES
TULP4,NO,YES
DNAJB1,NO,YES
ZNF697,NO,YES
GAL3ST4,NO,YES
STAM,NO,YES
UHRF1,NO,YES
IKZF1,NO,YES
CHMP4B,NO,YES
COPE,NO,YES
ROR1,NO,YES
PCCA,NO,YES
EYA3,NO,YES
DIRC2,NO,YES
ADAMTS17,NO,YES
OTUD6B,NO,YES
ST18,NO,YES
SLC30A7,NO,YES
TMEM187,NO,YES
KCNK3,NO,YES
RAB14,NO,YES
ATP1B2,NO,YES
TRPM3,NO,YES
TPM1,NO,YES
CGGBP1,NO,YES
TRIP6,NO,YES
NR0B1,NO,YES
CALM2,NO,YES
ANP32E,NO,YES
GPM6A,NO,YES
FOXN2,NO,YES
WDR53,NO,YES
HIPK2,NO,YES
PPP2R5E,NO,YES
NCOA3,NO,YES
ALS2,NO,YES
ARHGAP1,NO,YES
SEH1L,NO,YES
SCRT1,NO,YES
DGKB,NO,YES
SIX5,NO,YES
SLC30A5,NO,YES
LRRC20,NO,YES
ANXA6,NO,YES
EIF2B4,NO,YES
FLJ30058,NO,YES
ZNF202,NO,YES
EPB41L5,NO,YES
MLLT4,NO,YES
STIM2,NO,YES
ACOT6,NO,YES
SLC35A4,NO,YES
CRTAM,NO,YES
GPC5,NO,YES
ABCG4,NO,YES
KIAA0564,NO,YES
TNFRSF21,NO,YES
ST8SIA2,NO,YES
HIRA,NO,YES
NRBP1,NO,YES
ERH,NO,YES
LYPLA2,NO,YES
DYNLL1,NO,YES
SFRS8,NO,YES
ARSI,NO,YES
